start_id,type,end_id
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_1
nsw_legislation:2023-10-30/act-2010-104_part_1,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_1_section_1
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_1
nsw_legislation:2023-10-30/act-2010-104_part_1,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_1_section_2
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_1
nsw_legislation:2023-10-30/act-2010-104_part_1,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_1_section_3
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_4
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_5
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_6
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_7
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_8
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_9
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_10
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_11
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_12
nsw_legislation:2023-10-30/act-2010-104,HAS_PART,nsw_legislation:2023-10-30/act-2010-104_part_2
nsw_legislation:2023-10-30/act-2010-104_part_2,HAS_SECTION,nsw_legislation:2023-10-30/act-2010-104_part_2_section_13
